pu_location_id,pair,pearson_r,n_obs
129,lag_168_vs_lag_336,0.8708008683467819,4584
129,lag_168_vs_lag_504,0.8404975498212482,4584
129,lag_336_vs_lag_504,0.8452683187918071,4584
130,lag_168_vs_lag_336,0.9094969796155872,4584
130,lag_168_vs_lag_504,0.9032581704637314,4584
130,lag_336_vs_lag_504,0.9040616011080582,4584
132,lag_168_vs_lag_336,0.848927190105126,4584
132,lag_168_vs_lag_504,0.8444829893561137,4584
132,lag_336_vs_lag_504,0.8510077172856186,4584
138,lag_168_vs_lag_336,0.8752666431860283,4584
138,lag_168_vs_lag_504,0.8678407890464198,4584
138,lag_336_vs_lag_504,0.8752992573477038,4584
141,lag_168_vs_lag_336,0.9126044751781204,4584
141,lag_168_vs_lag_504,0.8982942563267862,4584
141,lag_336_vs_lag_504,0.8986035531910007,4584
142,lag_168_vs_lag_336,0.8881790194197255,4584
142,lag_168_vs_lag_504,0.8799115088554997,4584
142,lag_336_vs_lag_504,0.8812884244151449,4584
144,lag_168_vs_lag_336,0.9358431173111004,4584
144,lag_168_vs_lag_504,0.9265708509900904,4584
144,lag_336_vs_lag_504,0.9283665973684332,4584
145,lag_168_vs_lag_336,0.8826635578238456,4584
145,lag_168_vs_lag_504,0.8541727886580477,4584
145,lag_336_vs_lag_504,0.8689221509447835,4584
148,lag_168_vs_lag_336,0.949086332421153,4584
148,lag_168_vs_lag_504,0.9365252971370226,4584
148,lag_336_vs_lag_504,0.934753042297328,4584
161,lag_168_vs_lag_336,0.934454820970004,4584
161,lag_168_vs_lag_504,0.9258716304435352,4584
161,lag_336_vs_lag_504,0.9285340074626603,4584
162,lag_168_vs_lag_336,0.9337915058100148,4584
162,lag_168_vs_lag_504,0.9263199594111308,4584
162,lag_336_vs_lag_504,0.922617963171122,4584
163,lag_168_vs_lag_336,0.9103621526304572,4584
163,lag_168_vs_lag_504,0.90506680874187,4584
163,lag_336_vs_lag_504,0.9053924333104632,4584
164,lag_168_vs_lag_336,0.8970644132944573,4584
164,lag_168_vs_lag_504,0.8843748821475095,4584
164,lag_336_vs_lag_504,0.8879440630452766,4584
168,lag_168_vs_lag_336,0.8958135614640211,4584
168,lag_168_vs_lag_504,0.87855411795136,4584
168,lag_336_vs_lag_504,0.8819184081142765,4584
170,lag_168_vs_lag_336,0.9230573708598228,4584
170,lag_168_vs_lag_504,0.9074458472879484,4584
170,lag_336_vs_lag_504,0.9095697497212292,4584
181,lag_168_vs_lag_336,0.8771043919291766,4584
181,lag_168_vs_lag_504,0.8716880989600605,4584
181,lag_336_vs_lag_504,0.86960970281986,4584
188,lag_168_vs_lag_336,0.9191753731714132,4584
188,lag_168_vs_lag_504,0.9047090811249212,4584
188,lag_336_vs_lag_504,0.9111114710771916,4584
216,lag_168_vs_lag_336,0.9224410869351016,4584
216,lag_168_vs_lag_504,0.9077207236130632,4584
216,lag_336_vs_lag_504,0.911278869416828,4584
225,lag_168_vs_lag_336,0.9216411177125602,4584
225,lag_168_vs_lag_504,0.900114413135709,4584
225,lag_336_vs_lag_504,0.902924823845808,4584
230,lag_168_vs_lag_336,0.9098344973752224,4584
230,lag_168_vs_lag_504,0.9046724611349152,4584
230,lag_336_vs_lag_504,0.9008577807301912,4584
231,lag_168_vs_lag_336,0.9166215088997234,4584
231,lag_168_vs_lag_504,0.8942465032468689,4584
231,lag_336_vs_lag_504,0.9004848621491949,4584
234,lag_168_vs_lag_336,0.9333190523188865,4584
234,lag_168_vs_lag_504,0.9171561797023552,4584
234,lag_336_vs_lag_504,0.9200441969682832,4584
236,lag_168_vs_lag_336,0.911532962182913,4584
236,lag_168_vs_lag_504,0.8877475523567728,4584
236,lag_336_vs_lag_504,0.89856410988398,4584
237,lag_168_vs_lag_336,0.9104767907528416,4584
237,lag_168_vs_lag_504,0.8862308126338656,4584
237,lag_336_vs_lag_504,0.8979532139274332,4584
244,lag_168_vs_lag_336,0.9075577681855418,4584
244,lag_168_vs_lag_504,0.8927224824686509,4584
244,lag_336_vs_lag_504,0.8927459308664898,4584
246,lag_168_vs_lag_336,0.8782407511949051,4584
246,lag_168_vs_lag_504,0.8687915960247129,4584
246,lag_336_vs_lag_504,0.85053238933737,4584
249,lag_168_vs_lag_336,0.9288913365310992,4584
249,lag_168_vs_lag_504,0.925013481973514,4584
249,lag_336_vs_lag_504,0.9218428540665758,4584
255,lag_168_vs_lag_336,0.9387566088296078,4584
255,lag_168_vs_lag_504,0.9251897714781828,4584
255,lag_336_vs_lag_504,0.9258190278471744,4584
256,lag_168_vs_lag_336,0.9260716768732636,4584
256,lag_168_vs_lag_504,0.9041243729251496,4584
256,lag_336_vs_lag_504,0.9074726352140194,4584
